Popis,XPath,Povinnost,Původ,Verzování,Násobnost,Název fieldu indexu,Typ fieldu indexu,Child
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:imageProducer,nepovinné,generuje ARCLib,neverzuje se,1,img_metadata_image_producer,string,img_metadata
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:scannerModelSerialNo,nepovinné,generuje ARCLib,neverzuje se,1,img_metadata_scanner_model_serial_no,string,img_metadata
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:eventCount,nepovinné,generuje ARCLib,neverzuje se,1,img_metadata_arc_event_count,int,img_metadata
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication,nepovinné,generuje ARCLib,neverzuje se,N,,,creating_application
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:creatingApplicationName,nepovinné,generuje ARCLib,neverzuje se,1,creating_application_creating_application_name,string,creating_application
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:creatingApplicationVersion,nepovinné,generuje ARCLib,neverzuje se,1,creating_application_creating_application_version,string,creating_application
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:dateCreatedByApplication,nepovinné,generuje ARCLib,neverzuje se,1,creating_application_date_created_by_application,date,creating_application
Technická metadata agregovaná přebíraná,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:eventCount,nepovinné,generuje ARCLib,neverzuje se,1,creating_application_event_count,int,creating_application
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event,povinné,generuje ARCLib,neverzuje se,N,,,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventOutcomeInformation,povinné,generuje ARCLib,neverzuje se,1,,,
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventOutcomeInformation/premis:eventOutcome,povinné,generuje ARCLib,neverzuje se,1,premis_event_outcome,text,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:linkingAgentIdentifier,povinné,generuje ARCLib,neverzuje se,1,,,
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:linkingAgentIdentifier/premis:linkingAgentIdentifierType,povinné,generuje ARCLib,neverzuje se,1,premis_event_linking_agent_identifier_type,string,premis_event
