Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Data source (DOC),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Parent (SYS),Label (CZ),Label (EN)
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileCount,SIP profile XSLT,1,extracted_format_file_count,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationName,SIP profile XSLT,1,extracted_format_creating_application_name,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationVersion,SIP profile XSLT,1,extracted_format_creating_application_version,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:dateCreatedByApplication,SIP profile XSLT,1,extracted_format_date_created_by_application,date,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:preservationLevelValue,SIP profile XSLT,1,extracted_format_preservation_level_value,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:scannerModelSerialNo,SIP profile XSLT,1,extracted_format_scanner_model_serial_no,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:size,SIP profile XSLT,1,extracted_format_size,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatVersion,SIP profile XSLT,1,extracted_format_format_version,other,extracted_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format,format identifier,N,,,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryKey,format identifier,1,identified_format_format_registry_key,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryName,format identifier,1,identified_format_format_registry_name,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileCount,format identifier,1,identified_format_file_count,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationName,format identifier,1,identified_format_creating_application_name,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationVersion,format identifier,1,identified_format_creating_application_version,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:dateCreatedByApplication,format identifier,1,identified_format_date_created_by_application,date,identified_format,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata,SIP profile XSLT,N,,,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:dateCreated,SIP profile XSLT,1,img_metadata_date_created,date,img_metadata,,
