Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Must be present (DOC),Data source (SYS),Check existence (SYS),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Child (SYS),Label (CZ),Label (EN)
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:dateCreatedByApplication,FALSE,SIP profile XSLT,FALSE,1,extracted_format_date_created_by_application,date,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:preservationLevelValue,FALSE,SIP profile XSLT,FALSE,1,extracted_format_preservation_level_value,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:scannerModelSerialNo,FALSE,SIP profile XSLT,FALSE,1,extracted_format_scanner_model_serial_no,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:size,FALSE,SIP profile XSLT,FALSE,1,extracted_format_size,other,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatVersion,FALSE,SIP profile XSLT,FALSE,1,extracted_format_format_version,other,extracted_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format,FALSE,format identifier,TRUE,N,,,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryKey,FALSE,format identifier,TRUE,1,identified_format_format_registry_key,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:formatRegistryName,FALSE,format identifier,TRUE,1,identified_format_format_registry_name,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileCount,FALSE,format identifier,TRUE,1,identified_format_file_count,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationName,FALSE,format identifier,TRUE,1,identified_format_creating_application_name,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:creatingApplicationVersion,FALSE,format identifier,TRUE,1,identified_format_creating_application_version,other,identified_format,,
Agregated techMD – generated,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:dateCreatedByApplication,FALSE,format identifier,TRUE,1,identified_format_date_created_by_application,date,identified_format,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata,FALSE,SIP profile XSLT,FALSE,N,,,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:dateCreated,FALSE,SIP profile XSLT,FALSE,1,img_metadata_date_created,date,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:imageProducer,FALSE,SIP profile XSLT,FALSE,1,img_metadata_image_producer,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:scannerModelSerialNo,FALSE,SIP profile XSLT,FALSE,1,img_metadata_scanner_model_serial_no,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:eventCount,FALSE,SIP profile XSLT,FALSE,1,img_metadata_arc_event_count,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication,FALSE,SIP profile XSLT,FALSE,N,,,creating_application,,
